No,Filename,Width,Height,AspectRatio,SizeKB,Category,ImageArea_SxS,TextArea_SxS
43,640_28.jpg,1080,720,1.50,126.0,Standard landscape,812x541,328x600
44,640_28.png,952,1270,0.75,934.6,Portrait,450x600,690x600
45,640_29.jpg,1080,720,1.50,85.2,Standard landscape,812x541,328x600
46,640_29.png,1080,608,1.78,629.9,Wide landscape,812x457,328x600
47,640_3.jpg,1080,608,1.78,77.1,Wide landscape,812x457,328x600
48,640_3.png,1080,473,2.28,32.9,Ultra-wide,812x356,328x600
49,640_30.jpg,1080,720,1.50,79.5,Standard landscape,812x541,328x600
50,640_30.png,1080,473,2.28,29.8,Ultra-wide,812x356,328x600
51,640_31.jpg,1080,721,1.50,37.0,Standard landscape,812x542,328x600
52,640_31.png,1080,473,2.28,29.2,Ultra-wide,812x356,328x600
53,640_32.jpg,1080,720,1.50,68.3,Standard landscape,812x541,328x600
54,640_32.png,1080,473,2.28,31.7,Ultra-wide,812x356,328x600
55,640_33.jpg,1080,1527,0.71,233.9,Portrait,424x600,716x600
56,640_33.png,1080,473,2.28,27.2,Ultra-wide,812x356,328x600
57,640_34.jpg,1080,634,1.70,71.8,Wide landscape,812x477,328x600
58,640_34.png,1080,514,2.10,12.2,Ultra-wide,812x386,328x600
59,640_35.jpg,1080,1440,0.75,110.4,Portrait,450x600,690x600
60,640_35.png,1080,417,2.59,25.7,Ultra-wide,812x314,328x600
61,640_36.jpg,1080,1440,0.75,107.2,Portrait,450x600,690x600
62,640_36.png,1080,967,1.12,26.2,Near square,670x600,470x600
63,640_37.jpg,1080,1619,0.67,182.1,Portrait,400x600,740x600
64,640_37.png,1080,967,1.12,22.9,Near square,670x600,470x600
65,640_38.jpg,1080,1440,0.75,132.2,Portrait,450x600,690x600
66,640_38.png,1080,967,1.12,26.2,Near square,670x600,470x600
67,640_39.jpg,1080,615,1.76,73.1,Wide landscape,812x462,328x600
68,640_39.png,1080,967,1.12,23.6,Near square,670x600,470x600
69,640_4.jpg,1080,1080,1.00,29.8,Near square,600x600,540x600
70,640_4.png,1080,473,2.28,26.7,Ultra-wide,812x356,328x600
71,640_40.jpg,1080,721,1.50,83.5,Standard landscape,812x542,328x600
72,640_41.jpg,1080,810,1.33,121.4,Standard landscape,800x600,340x600
73,640_42.jpg,1080,1620,0.67,94.8,Portrait,400x600,740x600
74,640_43.jpg,1080,720,1.50,208.0,Standard landscape,812x541,328x600
75,640_44.jpg,1080,721,1.50,126.5,Standard landscape,812x542,328x600
76,640_45.jpg,1080,720,1.50,122.6,Standard landscape,812x541,328x600
77,640_46.jpg,1080,608,1.78,97.7,Wide landscape,812x457,328x600
78,640_47.jpg,1080,608,1.78,76.3,Wide landscape,812x457,328x600
79,640_48.jpg,1080,608,1.78,64.7,Wide landscape,812x457,328x600
80,640_5.jpg,1080,1080,1.00,37.1,Near square,600x600,540x600
81,640_5.png,1080,1350,0.80,394.1,Portrait,480x600,660x600
82,640_6.jpg,1080,810,1.33,100.7,Standard landscape,800x600,340x600
83,640_6.png,1080,1350,0.80,374.3,Portrait,480x600,660x600
84,640_7.jpg,1080,810,1.33,91.4,Standard landscape,800x600,340x600
85,640_7.png,1080,1350,0.80,400.2,Portrait,480x600,660x600
86,640_8.jpg,1080,810,1.33,95.0,Standard landscape,800x600,340x600
87,640_8.png,1080,1350,0.80,1667.1,Portrait,480x600,660x600
88,640_9.jpg,1080,810,1.33,106.3,Standard landscape,800x600,340x600
89,640_9.png,1080,1350,0.80,1731.1,Portrait,480x600,660x600
